Date,Price
9/20/2007,756.5239726
9/21/2007,758.6421053
9/22/2007,758.0794979
9/23/2007,738.2297297
9/24/2007,781.8215768
9/25/2007,751.5742188
9/26/2007,748.1826923
9/27/2007,766.8181818
9/28/2007,775.1704981
9/29/2007,769.2803347
9/30/2007,766.5740741
10/1/2007,780.7755102
10/2/2007,743.3233533
10/3/2007,769.9654472
10/4/2007,789.4784314
10/5/2007,771.2007874
10/6/2007,773.7586207
10/7/2007,749.8671329
10/8/2007,795.9354839
10/9/2007,780.5018182
10/10/2007,767.5877863
10/11/2007,779.2329749
10/12/2007,773.7859922
10/13/2007,741.5299539
10/14/2007,760.2898551
10/15/2007,756.4503817
10/16/2007,780.6214286
10/17/2007,769.9667897
10/18/2007,767.3705179
10/19/2007,758.5
10/20/2007,754.8867925
10/21/2007,763.9393939
10/22/2007,789.2744361
10/23/2007,785.780303
10/24/2007,774.9815498
10/25/2007,779.4538153
10/26/2007,771.5877551
10/27/2007,756.1554622
10/28/2007,751.7591241
10/29/2007,771.3913043
10/30/2007,759.1291667
10/31/2007,785.8878049
11/1/2007,773.9957983
11/2/2007,782.5062241
11/3/2007,764.6811594
11/4/2007,741.122449
11/5/2007,758.3930131
11/6/2007,763.4422311
11/7/2007,756.2438017
11/8/2007,742.4895397
11/9/2007,732.8253012
11/10/2007,724.4274809
11/11/2007,729.7322835
11/12/2007,762.1460177
11/13/2007,754.4
11/14/2007,750.1356589
11/15/2007,739.5458333
11/16/2007,734.924812
11/17/2007,722.2547529
11/18/2007,697.6993464
11/19/2007,708.5833333
11/20/2007,706.8608059
11/21/2007,706.1103203
11/22/2007,711.8356643
11/23/2007,708.3710247
11/24/2007,700.8720379
11/25/2007,700.1608392
11/26/2007,708.7340426
11/27/2007,717.0373134
11/28/2007,711.0898438
11/29/2007,711.8129496
11/30/2007,728.9142857
12/1/2007,713.0198413
12/2/2007,686.9936709
12/3/2007,718.9471947
12/4/2007,693.0387324
12/5/2007,697.1710963
12/6/2007,704.442053
12/7/2007,684.3252595
12/8/2007,632.5087719
12/9/2007,628.1290323
12/10/2007,661.2389706
12/11/2007,645.6678201
12/12/2007,648.6802721
12/13/2007,644.7275862
12/14/2007,620.6267606
12/15/2007,614.9469697
12/16/2007,578.1125828
12/17/2007,611.5878136
12/18/2007,611.870229
12/19/2007,599.3076923
12/20/2007,580.5289575
12/21/2007,543.66
12/22/2007,575.1016949
12/23/2007,560.0921986
12/24/2007,568.0114068
12/25/2007,516.7823834
12/26/2007,552.9205776
12/27/2007,565.5055351
12/28/2007,545.9076923
12/29/2007,525.7478261
12/30/2007,513.3710938
12/31/2007,547.9285714
1/1/2008,544.625
1/2/2008,530.7384106
1/3/2008,532.9280822
1/4/2008,548.5629139
1/5/2008,527.5059761
1/6/2008,509.4235294
1/7/2008,543.3804714
1/8/2008,523.6850649
1/9/2008,536.5811688
1/10/2008,531.2727273
1/11/2008,512.0761589
1/12/2008,488.0393701
1/13/2008,494.3081395
1/14/2008,515.019084
1/15/2008,494.4347826
1/16/2008,503.8175896
1/17/2008,507.278135
1/18/2008,499.1804636
1/19/2008,462.9588477
1/20/2008,455.1069182
1/21/2008,500.1932203
1/22/2008,501.8745819
1/23/2008,479.4204545
1/24/2008,486.8951613
1/25/2008,485.2398649
1/26/2008,458.6071429
1/27/2008,489.8896104
1/28/2008,498.97
1/29/2008,491.7435065
1/30/2008,484.1764706
1/31/2008,492.8846154
2/1/2008,484.7939189
2/2/2008,480.9861111
2/3/2008,448.7225434
2/4/2008,480.8896321
2/5/2008,490.6132075
2/6/2008,482.361204
2/7/2008,479.5394322
2/8/2008,481.1387097
2/9/2008,457.3571429
2/10/2008,442.9757576
2/11/2008,486.9083333
2/12/2008,479.6149068
2/13/2008,477.3258258
2/14/2008,473.0792683
2/15/2008,473.7299383
2/16/2008,477.3026316
2/17/2008,448.508427
2/18/2008,482.6015625
2/19/2008,470.1527331
2/20/2008,483.9633028
2/21/2008,474.2462687
2/22/2008,480.0241158
2/23/2008,469.4007092
2/24/2008,451.2839506
2/25/2008,482.8875
2/26/2008,487.9938272
2/27/2008,483.3037975
2/28/2008,483.7341772
2/29/2008,491.3344482
3/1/2008,479.2052117
3/2/2008,455.2189189
3/3/2008,479.1697248
3/4/2008,479.6132353
3/5/2008,465.2552553
3/6/2008,454.8656126
3/7/2008,478.9833333
3/8/2008,465.2140288
3/9/2008,450.3081081
3/10/2008,472.603125
3/11/2008,474.1797583
3/12/2008,478.9878419
3/13/2008,465.5142857
3/14/2008,468.9116667
3/15/2008,470.9046053
3/16/2008,447.9
3/17/2008,467.5117057
3/18/2008,462.7619863
3/19/2008,452.7166667
3/20/2008,438.2552448
3/21/2008,427.715
3/22/2008,453.9879032
3/23/2008,430.3333333
3/24/2008,455.7986577
3/25/2008,455.1964856
3/26/2008,445.4749216
3/27/2008,445.9705882
3/28/2008,455.5594406
3/29/2008,445.0502092
3/30/2008,423.7633588
3/31/2008,448.9825328
4/1/2008,467.9490196
4/2/2008,447.8206107
4/3/2008,434.8564189
4/4/2008,436.2679128
4/5/2008,429.7236842
4/6/2008,415.6911765
4/7/2008,425.2975779
4/8/2008,443.5083056
4/9/2008,430.097561
4/10/2008,429.1246246
4/11/2008,443.5897436
4/12/2008,412.1906615
4/13/2008,411.6896552
4/14/2008,416.279476
4/15/2008,435.2192982
4/16/2008,430.0780255
4/17/2008,448.4038462
4/18/2008,430.6893939
4/19/2008,448.9559322
4/20/2008,419.0294118
4/21/2008,447.640411
4/22/2008,440.2533333
4/23/2008,438.3552632
4/24/2008,443.5966667
4/25/2008,436.9295302
4/26/2008,444.12
4/27/2008,415.5666667
4/28/2008,441.1258741
4/29/2008,446.3475177
4/30/2008,441.8876404
5/1/2008,434.8175182
5/2/2008,426.9
